objectid;Codigo;Jardin;Barrio;DM;Zona;Mantenimie;Tipo;CREATED_USER;CREATED_DATE;LAST_EDITED_USER;LAST_EDITED_DATE;geo_shape;geo_point_2d
249;99101709;Vicente Gil Ros Pl;Carpesa;17.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.37963567100641926, 39.51696245223704], ""type"": ""Point""}";39.51696245223704, -0.37963567100641926
285;99110316;Ramon y Cajal GV;La Roqueta;3.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3834874465088085, 39.4682283474027], ""type"": ""Point""}";39.4682283474027, -0.3834874465088085
149;99101307;Campoamor C/ (II);Ciutat Jardi;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34607793614344634, 39.47077134059497], ""type"": ""Point""}";39.47077134059497, -0.34607793614344634
157;99101312;Poeta Duran Tortajada C/ - Impresor Lambert C/;Ciutat Jardi;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34330271162797266, 39.47161734608866], ""type"": ""Point""}";39.47161734608866, -0.34330271162797266
373;99111036;La Señera C/;Mont-Olivet;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3643005432631444, 39.458662778685934], ""type"": ""Point""}";39.458662778685934, -0.3643005432631444
423;99111941;Sociopolis;Faitanar;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3954200712225419, 39.43378815576429], ""type"": ""Point""}";39.43378815576429, -0.3954200712225419
430;99111913;Major de Pinedo Pl;Pinedo;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33935032357450823, 39.42218119343793], ""type"": ""Point""}";39.42218119343793, -0.33935032357450823
433;99111926;Portadors de la Verde Pl;Pinedo;19.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33682638082147126, 39.4221463397512], ""type"": ""Point""}";39.4221463397512, -0.33682638082147126
446;99120441;Jardin de Polifilo;Sant Pau;4.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.4044142160563949, 39.491456516914184], ""type"": ""Point""}";39.491456516914184, -0.4044142160563949
453;99121612;Jardin Camino de Moncada;Benicalap;16.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.3818085463805797, 39.49506528520637], ""type"": ""Point""}";39.49506528520637, -0.3818085463805797
470;99121121;Paseo Maritimo;Cabanyal-Canyamelar;11.0;NORTE;OAMJ;Juegos Infantiles;;;;;"{""coordinates"": [-0.32463346775352736, 39.48189211804402], ""type"": ""Point""}";39.48189211804402, -0.32463346775352736
378;99111030;Huerta de San Valero Pl;Na Rovella;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3594129096376703, 39.45729426334465], ""type"": ""Point""}";39.45729426334465, -0.3594129096376703
379;99111032;Instituto Obrero de Valencia Av;Ciutat de les Arts i de les Ciencies;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.35858197535439934, 39.45578330485797], ""type"": ""Point""}";39.45578330485797, -0.35858197535439934
394;99111054;Rquel Paya Pl;En Corts;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3728910601955363, 39.45730760532995], ""type"": ""Point""}";39.45730760532995, -0.3728910601955363
398;99111059;Jesus Morante Borras (I) (II) Av;La Punta;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.34402565080629455, 39.44733292750001], ""type"": ""Point""}";39.44733292750001, -0.34402565080629455
400;99111070;Jardin M-12 (PAI Malilla Norte);Malilla;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.37588571482883215, 39.44634647628317], ""type"": ""Point""}";39.44634647628317, -0.37588571482883215
405;99111110;Carlos Pau Español C/ (ZAL I);Natzaret;11.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.33730512931996537, 39.44247940082659], ""type"": ""Point""}";39.44247940082659, -0.33730512931996537
